Idade,Instisfeito,ViagemTrabalho,DistanciaMoradia,Educacao,Satisfacao,Genero,EnvolvimentoTrabalho,NivelTrabalho,SatisfacaoTrabalho,StatusCivil,SalarioMensal,TrabalhosAnteriores,TaxaPerformance,SatisfacaoColegas,Workbalance,AnosEmpresa,AnosMesmaPosicao,AnosUltimaPromocao,AnosComMemoGerente
46,Sim,Viaja_raramente,9,2,3,Masculino,2,3,4,Solteiro,9619,1,3,4,3,9,8,4,7
40,Nao,Viaja_frequentemente,1,4,3,Masculino,2,4,2,Casado,13503,1,4,4,2,22,3,11,11
51,Nao,Viaja_raramente,21,4,3,Masculino,3,2,4,Solteiro,5441,0,4,4,1,10,7,1,0
30,Nao,Viaja_raramente,4,2,3,Feminino,2,2,2,Divorciado,5209,1,3,2,2,11,8,2,7
46,Nao,Viaja_frequentemente,1,3,3,Masculino,2,3,1,Casado,10673,2,3,3,2,10,9,9,5
32,Nao,Viaja_raramente,6,4,2,Masculino,3,2,3,Solteiro,5010,1,3,1,3,11,8,5,7
54,Nao,Viaja_raramente,2,4,1,Feminino,3,3,3,Casado,13549,9,3,1,1,4,3,0,3
24,Nao,Viaja_raramente,3,2,1,Feminino,3,2,3,Casado,4999,0,4,1,2,3,2,0,2
28,Nao,Nao_viaja,4,3,2,Masculino,3,2,3,Casado,4221,1,3,2,4,5,4,0,4
58,Nao,Viaja_raramente,10,4,4,Masculino,3,4,3,Solteiro,13872,0,3,3,2,37,10,1,8
44,Nao,Nao_viaja,23,3,2,Masculino,3,2,2,Casado,2042,4,3,3,4,3,2,1,2
37,Sim,Viaja_raramente,6,4,3,Masculino,3,1,1,Divorciado,2073,4,4,4,3,3,2,0,2
32,Nao,Viaja_raramente,1,1,4,Masculino,3,1,1,Solteiro,2956,1,3,4,3,1,0,0,0
20,Sim,Viaja_frequentemente,6,3,4,Feminino,2,1,4,Solteiro,2926,1,3,2,3,1,0,1,0
34,Nao,Viaja_raramente,6,4,1,Feminino,3,2,3,Solteiro,4809,1,3,3,3,16,13,2,10
37,Nao,Nao_viaja,2,2,3,Masculino,2,2,4,Divorciado,5163,5,3,4,4,1,0,0,0
59,Nao,Nao_viaja,2,4,3,Feminino,2,5,4,Casado,18844,9,4,4,3,3,2,2,2
50,Nao,Viaja_frequentemente,1,3,1,Feminino,3,5,2,Casado,18172,3,3,1,2,8,3,0,7
25,Sim,Viaja_raramente,5,3,3,Masculino,2,2,3,Solteiro,5744,1,3,4,3,6,4,0,3
25,Nao,Viaja_raramente,7,1,4,Masculino,2,1,4,Casado,2889,1,3,3,3,2,2,2,1
22,Nao,Viaja_raramente,15,3,2,Feminino,3,1,4,Solteiro,2871,1,3,3,3,0,0,0,0
51,Nao,Viaja_frequentemente,1,4,1,Feminino,2,3,1,Solteiro,7484,3,4,3,2,13,12,12,8
34,Sim,Viaja_frequentemente,7,3,1,Masculino,1,2,3,Solteiro,6074,1,4,4,3,9,7,0,6
54,Nao,Nao_viaja,26,3,4,Feminino,4,4,4,Solteiro,17328,2,3,3,3,5,3,4,4
24,Nao,Viaja_raramente,18,1,2,Masculino,3,1,3,Casado,2774,0,3,3,3,5,3,1,2
34,Nao,Viaja_raramente,6,4,3,Feminino,2,2,2,Divorciado,4505,6,3,3,3,1,0,0,0
37,Nao,Viaja_raramente,3,3,3,Masculino,3,3,4,Solteiro,7428,2,3,1,3,5,3,1,3
34,Nao,Viaja_raramente,5,3,3,Feminino,2,3,1,Solteiro,11631,2,3,4,3,11,10,5,8
36,Nao,Viaja_frequentemente,11,2,2,Feminino,3,3,4,Casado,9738,0,3,3,3,9,7,2,8
36,Nao,Viaja_raramente,3,2,1,Feminino,3,1,4,Divorciado,2835,5,4,1,3,1,0,0,0
43,Nao,Viaja_frequentemente,26,2,3,Masculino,3,4,4,Casado,16959,1,3,4,4,25,12,4,12
30,Nao,Viaja_frequentemente,23,3,1,Masculino,1,1,3,Divorciado,2613,1,4,3,2,10,7,0,9
33,Nao,Nao_viaja,22,2,3,Masculino,3,2,2,Casado,6146,0,3,1,4,7,7,0,7
56,Sim,Viaja_raramente,14,4,2,Feminino,3,1,2,Casado,4963,9,3,1,3,5,4,4,3
51,Nao,Viaja_raramente,6,3,1,Masculino,3,5,3,Solteiro,19537,7,3,3,3,20,18,15,15
31,Sim,Viaja_raramente,6,4,2,Masculino,1,2,3,Casado,6172,4,3,2,2,7,7,7,7
26,Nao,Viaja_raramente,6,3,3,Feminino,2,1,2,Casado,2368,1,3,3,2,5,4,4,3
58,Sim,Viaja_raramente,23,4,4,Feminino,3,3,4,Casado,10312,1,3,4,2,40,10,15,6
19,Sim,Viaja_raramente,22,1,4,Masculino,3,1,3,Solteiro,1675,1,3,4,2,0,0,0,0
22,Nao,Viaja_raramente,2,1,3,Masculino,3,1,4,Casado,2523,0,3,3,3,2,1,2,1
49,Nao,Viaja_raramente,20,4,3,Feminino,3,2,1,Casado,6567,1,3,3,2,15,11,5,11
43,Nao,Viaja_frequentemente,28,3,2,Feminino,4,1,3,Solteiro,4739,4,3,4,3,3,2,1,2
50,Nao,Viaja_frequentemente,12,3,3,Feminino,3,3,4,Solteiro,9208,4,3,4,3,2,2,2,1
31,Sim,Viaja_raramente,20,3,2,Feminino,1,2,3,Casado,4559,3,3,3,3,2,2,2,2
41,Nao,Viaja_raramente,9,1,3,Masculino,3,3,3,Divorciado,8189,3,3,3,3,9,7,0,7
26,Nao,Viaja_raramente,25,1,3,Feminino,3,1,3,Casado,2942,1,4,4,3,8,7,5,7
36,Nao,Viaja_raramente,6,2,2,Masculino,3,2,2,Divorciado,4941,6,4,4,3,3,2,0,1
51,Sim,Viaja_frequentemente,8,4,1,Masculino,1,3,4,Solteiro,10650,2,3,4,3,4,2,0,3
39,Nao,Viaja_raramente,4,4,4,Feminino,2,2,3,Casado,5902,4,3,3,4,15,11,5,9
25,Nao,Viaja_raramente,28,3,1,Masculino,2,2,3,Casado,8639,2,3,4,3,2,2,2,2
30,Nao,Viaja_raramente,9,3,3,Masculino,3,2,4,Casado,6347,0,3,4,1,11,9,4,7
32,Sim,Viaja_raramente,9,3,1,Feminino,3,1,1,Solteiro,4200,7,4,1,4,5,4,0,4
45,Nao,Viaja_raramente,29,3,3,Masculino,3,1,4,Solteiro,3452,5,3,2,2,6,5,0,3
38,Nao,Viaja_raramente,3,5,4,Feminino,3,2,3,Solteiro,4317,3,4,2,3,3,2,2,2
30,Nao,Viaja_raramente,18,3,1,Feminino,3,1,3,Solteiro,2632,1,3,3,2,5,4,0,4
32,Nao,Viaja_frequentemente,9,2,4,Masculino,1,2,4,Divorciado,4668,0,3,4,4,8,7,0,7
30,Nao,Viaja_raramente,5,3,4,Feminino,3,1,1,Divorciado,3204,5,3,4,3,3,2,2,2
30,Nao,Viaja_raramente,2,1,2,Masculino,2,1,4,Solteiro,2720,0,3,4,3,5,3,1,2
41,Nao,Viaja_frequentemente,10,3,4,Masculino,2,4,1,Divorciado,17181,4,3,2,2,7,6,7,7
41,Nao,Viaja_raramente,9,4,3,Masculino,3,1,1,Casado,2238,2,4,4,3,5,0,1,4
19,Nao,Viaja_raramente,3,1,2,Feminino,3,1,2,Solteiro,1483,1,3,4,3,1,0,0,0
40,Nao,Viaja_frequentemente,26,3,2,Feminino,3,2,2,Divorciado,5605,1,3,1,3,20,7,2,13
35,Nao,Viaja_raramente,1,5,3,Masculino,3,3,2,Casado,7295,1,3,1,3,10,8,0,6
53,Nao,Viaja_raramente,6,2,2,Masculino,3,2,3,Casado,2306,2,4,4,1,7,7,4,5
45,Nao,Viaja_raramente,9,3,2,Masculino,3,2,2,Divorciado,2348,8,3,3,1,17,9,0,15
32,Nao,Viaja_frequentemente,8,3,2,Feminino,3,3,4,Solteiro,8998,1,3,4,3,9,8,3,7
29,Nao,Nao_viaja,1,1,4,Masculino,3,2,3,Casado,4319,1,3,1,3,10,7,0,9
51,Nao,Viaja_raramente,7,4,2,Masculino,2,2,3,Casado,6132,2,3,3,3,1,0,0,0
58,Nao,Viaja_raramente,9,3,2,Feminino,2,1,2,Casado,3346,4,4,2,2,1,0,0,0
40,Nao,Viaja_raramente,4,4,3,Masculino,2,3,4,Casado,10855,7,3,1,2,12,11,2,11
34,Nao,Viaja_frequentemente,2,4,3,Feminino,3,1,3,Casado,2231,6,3,4,3,4,3,1,2
22,Nao,Viaja_raramente,19,1,3,Masculino,3,1,4,Casado,2323,1,4,1,3,2,2,2,2
27,Nao,Nao_viaja,9,3,4,Masculino,3,1,2,Divorciado,2024,6,3,4,1,2,2,2,2
28,Nao,Viaja_raramente,21,3,3,Masculino,3,1,4,Casado,2713,1,3,3,1,5,2,0,2
57,Nao,Viaja_raramente,24,2,3,Masculino,4,3,4,Divorciado,9439,3,3,2,1,5,3,1,4
27,Nao,Nao_viaja,3,3,3,Masculino,2,1,3,Divorciado,2566,1,3,4,2,1,1,0,1
50,Nao,Viaja_raramente,11,3,3,Feminino,3,5,2,Solteiro,19926,3,3,2,3,5,4,4,4
41,Nao,Viaja_raramente,14,3,1,Masculino,3,1,3,Divorciado,2451,4,3,1,3,9,8,1,8
30,Nao,Viaja_raramente,5,3,2,Feminino,3,3,4,Casado,9419,2,3,3,3,10,9,7,4
38,Nao,Viaja_raramente,1,4,1,Feminino,2,2,4,Solteiro,8686,4,4,3,4,8,3,0,7
32,Nao,Viaja_raramente,6,5,3,Masculino,3,1,3,Solteiro,3038,3,4,1,3,5,4,1,4
27,Nao,Viaja_raramente,17,3,3,Masculino,3,1,2,Casado,3058,0,3,4,2,5,2,1,1
19,Sim,Viaja_frequentemente,1,1,3,Feminino,1,1,1,Solteiro,2325,0,4,1,4,0,0,0,0
36,Nao,Viaja_frequentemente,3,2,4,Masculino,3,1,2,Solteiro,2088,4,3,3,2,8,7,7,2
30,Nao,Nao_viaja,9,3,3,Masculino,3,2,1,Divorciado,3072,1,3,3,3,12,9,6,10
45,Nao,Viaja_raramente,4,2,3,Feminino,3,2,1,Divorciado,5006,4,3,1,4,5,4,0,3
56,Nao,Viaja_raramente,8,3,3,Feminino,3,1,1,Divorciado,4257,4,3,3,3,2,2,2,2
33,Nao,Viaja_raramente,2,3,3,Masculino,3,1,4,Solteiro,2500,0,3,1,4,3,1,0,2
19,Sim,Viaja_raramente,2,3,2,Masculino,2,1,4,Solteiro,1102,1,4,3,2,1,0,1,0
46,Nao,Viaja_raramente,1,2,2,Feminino,3,3,1,Divorciado,10453,1,4,3,3,24,13,15,7
38,Nao,Viaja_raramente,9,2,3,Feminino,3,1,4,Solteiro,2288,1,3,3,3,2,2,2,1
31,Nao,Viaja_raramente,12,1,3,Feminino,3,1,4,Casado,3929,8,4,3,3,4,2,0,2
34,Nao,Viaja_raramente,27,2,4,Feminino,3,1,2,Solteiro,2311,2,3,4,3,3,2,1,2
41,Sim,Viaja_raramente,20,2,2,Feminino,3,1,2,Solteiro,3140,1,4,4,2,4,3,0,2
50,Nao,Viaja_raramente,1,3,3,Masculino,2,1,3,Casado,3690,2,3,4,2,3,2,0,2
53,Nao,Viaja_raramente,13,2,4,Feminino,4,2,1,Divorciado,4450,1,3,3,3,4,2,1,3
33,Nao,Viaja_raramente,14,3,4,Feminino,3,1,2,Casado,2756,1,3,4,3,8,7,1,6
40,Nao,Viaja_raramente,4,1,4,Feminino,3,5,3,Casado,19033,1,3,2,3,20,8,9,9
55,Nao,Viaja_raramente,14,4,3,Masculino,4,5,2,Solteiro,18722,8,3,4,3,24,15,2,15
34,Nao,Viaja_frequentemente,2,1,4,Masculino,2,2,3,Casado,9547,1,3,3,2,10,9,1,9
51,Nao,Viaja_raramente,3,3,4,Feminino,3,4,2,Solteiro,13734,3,3,3,3,7,7,1,0
52,Nao,Viaja_raramente,1,4,3,Masculino,2,5,3,Casado,19999,0,3,1,3,33,18,11,9
27,Nao,Viaja_raramente,9,3,4,Feminino,3,1,2,Solteiro,2279,1,3,4,2,7,7,0,3
35,Sim,Viaja_raramente,23,2,2,Masculino,2,2,3,Casado,5916,3,3,1,3,1,0,0,1
43,Nao,Nao_viaja,7,3,4,Masculino,4,1,4,Divorciado,2089,4,3,4,4,5,4,2,2
45,Nao,Nao_viaja,2,2,1,Masculino,2,4,4,Casado,16792,9,4,4,3,20,8,11,8
37,Nao,Viaja_raramente,21,3,2,Masculino,4,1,1,Casado,3564,1,3,1,2,8,7,1,7
35,Nao,Viaja_frequentemente,2,3,2,Feminino,3,2,2,Solteiro,4425,5,3,4,3,6,2,1,2
42,Nao,Nao_viaja,21,2,3,Feminino,3,2,3,Divorciado,5265,2,3,2,3,5,3,0,2
38,Nao,Viaja_raramente,2,4,4,Masculino,3,2,3,Casado,6553,9,3,2,3,1,0,0,0
38,Nao,Viaja_raramente,29,3,4,Masculino,3,2,4,Casado,6261,3,3,1,1,7,7,1,7
27,Nao,Viaja_frequentemente,1,1,3,Masculino,2,2,1,Casado,4298,5,3,3,3,2,2,2,0
49,Nao,Nao_viaja,18,4,4,Masculino,3,2,4,Divorciado,6804,1,3,1,3,7,7,1,7
34,Nao,Viaja_frequentemente,10,4,4,Masculino,3,1,3,Divorciado,3815,1,3,4,4,5,3,2,0
40,Nao,Viaja_raramente,19,2,3,Masculino,3,2,4,Casado,2741,8,3,3,4,7,2,3,7
38,Sim,Viaja_raramente,29,1,2,Masculino,3,2,1,Casado,6673,7,3,2,3,1,0,0,0
29,Sim,Viaja_raramente,27,3,2,Feminino,3,3,4,Casado,7639,1,4,4,2,10,4,1,9
22,Nao,Viaja_raramente,5,3,4,Masculino,4,1,2,Divorciado,2328,1,3,1,2,4,2,2,2
36,Nao,Viaja_frequentemente,18,1,2,Feminino,3,1,4,Solteiro,2153,1,3,1,3,8,1,1,7
40,Nao,Nao_viaja,9,5,4,Masculino,2,2,4,Casado,4876,9,3,4,1,3,2,0,2
46,Nao,Viaja_raramente,1,4,4,Masculino,3,3,1,Divorciado,9396,7,3,3,3,4,2,0,3
32,Sim,Viaja_raramente,4,4,4,Masculino,1,3,4,Casado,10400,1,3,3,2,14,8,9,8
30,Nao,Nao_viaja,1,1,3,Masculino,2,3,3,Solteiro,8474,1,4,3,3,11,8,5,8
27,Nao,Viaja_frequentemente,20,3,4,Feminino,3,2,3,Solteiro,9981,1,3,4,3,7,7,0,7
51,Nao,Viaja_raramente,8,4,2,Masculino,2,3,2,Casado,12490,5,3,4,1,10,9,4,7
30,Sim,Viaja_raramente,3,3,4,Feminino,3,1,1,Solteiro,2657,5,3,3,3,5,2,0,4
41,Nao,Viaja_raramente,6,3,4,Feminino,3,3,4,Solteiro,13591,3,3,3,3,1,0,0,0
30,Sim,Viaja_frequentemente,26,4,3,Feminino,2,2,1,Solteiro,6696,5,3,3,2,6,3,0,1
29,Sim,Viaja_raramente,1,3,3,Masculino,3,1,3,Solteiro,2058,0,3,4,2,6,2,1,5
45,Nao,Nao_viaja,6,3,4,Feminino,2,3,4,Solteiro,8865,6,3,4,3,19,7,12,8
54,Nao,Viaja_raramente,3,3,4,Feminino,3,2,1,Casado,5940,2,3,4,3,6,2,0,5
36,Nao,Viaja_raramente,5,2,4,Masculino,3,2,2,Solteiro,5914,8,3,4,4,13,11,3,7
33,Nao,Viaja_raramente,4,4,3,Feminino,2,1,2,Casado,2622,6,4,4,3,3,2,1,1
37,Nao,Viaja_frequentemente,11,3,2,Masculino,3,3,4,Divorciado,12185,1,3,3,3,10,8,0,7
38,Nao,Viaja_raramente,3,3,1,Masculino,3,3,3,Divorciado,10609,0,3,3,2,16,10,5,13
31,Nao,Nao_viaja,1,4,3,Masculino,1,2,3,Casado,4345,0,3,4,3,5,4,1,4
59,Nao,Viaja_raramente,3,3,3,Masculino,2,1,4,Casado,2177,3,3,1,3,1,0,0,0
37,Nao,Viaja_frequentemente,4,4,1,Masculino,3,1,4,Divorciado,2793,4,3,3,3,9,8,5,8
29,Nao,Viaja_frequentemente,1,1,2,Feminino,3,3,4,Casado,7918,1,3,4,3,11,10,4,1
35,Nao,Viaja_frequentemente,1,3,3,Feminino,3,3,3,Solteiro,8789,1,3,1,4,10,7,0,8
29,Sim,Viaja_raramente,18,1,3,Masculino,2,1,4,Solteiro,2389,1,3,3,2,4,3,0,1
52,Nao,Viaja_raramente,2,3,3,Feminino,2,1,4,Solteiro,3212,7,3,2,2,2,2,2,2
42,Nao,Viaja_raramente,4,2,3,Masculino,3,5,4,Casado,19232,1,3,4,3,22,17,11,15
59,Nao,Viaja_raramente,6,2,2,Masculino,3,1,3,Casado,2267,8,3,4,2,2,2,2,2
50,Nao,Viaja_raramente,1,4,4,Feminino,3,5,4,Divorciado,19517,3,3,3,2,7,0,0,6
33,Sim,Viaja_raramente,14,3,3,Masculino,3,1,4,Casado,2436,5,3,3,1,5,4,0,4
43,Nao,Viaja_raramente,16,3,4,Feminino,3,4,4,Casado,16064,5,4,3,3,17,13,1,9
33,Sim,Viaja_raramente,2,2,1,Feminino,3,1,1,Casado,2707,7,4,1,4,9,7,1,7
52,Nao,Nao_viaja,2,4,1,Masculino,2,5,3,Solteiro,19068,1,3,4,4,33,7,15,12
32,Nao,Viaja_raramente,4,2,3,Feminino,3,1,2,Casado,3931,2,3,1,3,4,3,1,2
32,Sim,Viaja_raramente,1,3,4,Masculino,2,1,3,Solteiro,3730,0,3,4,1,3,2,1,2
39,Nao,Viaja_raramente,1,4,3,Feminino,3,1,3,Divorciado,2232,7,3,3,3,3,2,1,2
